"","playerId","career_efficiency","career_shooting"
"366",8470618,1.65351274421012,0.0882
"367",8470619,1.34568659386431,0.0953
"368",8470620,1.38432803935691,0.0778
"369",8470621,2.45323381848329,0.1276
"370",8470622,1.77587524843296,0.113
"371",8470626,2.03260569218016,0.1256
"372",8470631,1.18754398311049,0.0645
"373",8470634,0.216972034715526,0
"374",8470635,0.543478260869565,0.1666
"375",8470638,2.58104722682193,0.1074
"376",8470639,1.53116045845272,0.0955
"377",8470647,0.961650833931583,0.0597
"378",8470649,1.71985068515101,0.0685
"379",8470651,0.706991358994501,0.0833
"380",8470654,1.12566811236885,0.075
"381",8470655,2.01235552012754,0.1138
"382",8470662,0.974230483895802,0.0632
"383",8470666,1.32778613791272,0.0849
"384",8470667,2.12498252481476,0.1362
"385",8470680,1.78343949044586,0.096
"386",8470687,1.18660964080136,0.0992
"387",8470697,0.983487129674599,0.041
"388",8470699,0.61177554634955,0.0417
"389",8470700,1.26784913875904,0.1052
"390",8470719,0.563998120006267,0.0317
"391",8470740,1.94067850184769,0.1089
"392",8470743,0.533883395013044,0.0576
"393",8470750,1.34269482982418,0.0969
"394",8470755,1.30067238389749,0.0869
"395",8470774,0.69377990430622,0.0362
"396",8470775,0.900290947684313,0.0717
"397",8470778,1.0067760244267,0.0845
"398",8470794,2.59110097530205,0.1284
"399",8470803,1.37358175363698,0.1033
"400",8470809,2.19804618117229,0.2195
"401",8470828,1.12977425912057,0.0659
"402",8470834,1.65266998016796,0.0677
"403",8470854,0.765174104832549,0.0581
"404",8470871,0.849150849150849,0.0572
"405",8470876,1.02515424774561,0.0656
"406",8470877,1.65736268186157,0.134
"407",8470920,1.50375939849624,0.0909
"408",8471185,2.08172998069669,0.1461
"409",8471187,0.780485578417976,0.0428
"410",8471208,2.00501253132832,0.1195
"411",8471214,3.14300680984809,0.1287
"412",8471215,3.45318629265043,0.1351
"413",8471216,1.08552941546,0.0545
"414",8471217,1.998001998002,0.119
"415",8471218,2.65498352952954,0.1086
"416",8471220,1.47176373676664,0.0769
"417",8471226,1.95320323809862,0.1049
"418",8471229,0.997432085416948,0.0854
"419",8471231,1.21179950932477,0.0833
"420",8471232,1.37202926085621,0.1011
"421",8471233,1.71097947375672,0.112
"422",8471234,2.20171886166645,0.1064
"423",8471235,1.54373927958834,0.1052
"424",8471236,1.09151363436586,0.0571
"425",8471238,2.05206156184686,0.1212
"426",8471245,1.78097863444034,0.1366
"427",8471260,1.43936047576466,0.0926
"428",8471263,1.40526976160602,0.093
"429",8471266,1.81542340648304,0.0899
"430",8471273,1.86192164767313,0.0941
"431",8471276,2.56248641599652,0.125
"432",8471277,1.34128166915052,0.0357
"433",8471283,1.21867217718434,0.098
"434",8471284,0.904439978074182,0.0467
"435",8471290,1.47748592870544,0.1052
"436",8471299,1.33953116409257,0.0651
"437",8471303,1.15020159823001,0.0488
"438",8471309,2.20380934732829,0.1163
"439",8471310,1.4706263779017,0.129
"440",8471311,1.85675183576142,0.0699
"441",8471314,0.476631801933007,0.025
"442",8471323,1.41263998869888,0.1113
"443",8471324,1.14285714285714,0.0441
"444",8471331,1.10627205391487,0.1082
"445",8471339,1.78220107475856,0.1009
"446",8471346,2.05785891978374,0.1098
"447",8471360,1.13726109619333,0.1363
"448",8471362,2.05510362304586,0.1248
"449",8471371,0.644590118274329,0.0506
"450",8471372,0.30060120240481,0.0714
"451",8471388,0.940438871473354,0.0833
"452",8471390,1.47072754831375,0.0902
"453",8471392,0.552394146375681,0.0325
"454",8471419,1.58504369030685,0.0337
"455",8471426,1.59792421476356,0.1372
"456",8471457,0.293350717079531,0
"457",8471476,1.27514732777891,0.0686
"458",8471480,0,0
"459",8471498,1.67486288150563,0.1107
"460",8471504,1.68178290276084,0.1045
"461",8471514,2.01944025473437,0.0971
"462",8471521,0.858213191054603,0.0934
"463",8471628,1.09509867295334,0.0927
"464",8471634,1.54771468895885,0.0786
"465",8471636,0.482484796703021,0
"466",8471641,2.14285714285714,0.0588
"467",8471657,0.980324888073143,0.0857
"468",8471664,1.79885332059245,0.0958
"469",8471669,2.3346469272553,0.1259
"470",8471670,1.91121448073617,0.14
"471",8471675,3.6397914037675,0.1453
"472",8471676,2.3327001653525,0.1221
"473",8471678,1.8519315403423,0.1344
"474",8471680,1.60873798738411,0.0959
"475",8471682,1.99444713314145,0.1103
"476",8471685,2.53208668894643,0.1297
"477",8471691,1.70407518769615,0.0918
"478",8471698,2.25612725206947,0.1466
"479",8471699,1.52586405340524,0.0982
"480",8471703,2.03990771846036,0.1254
"481",8471707,2.23745434532446,0.1177
"482",8471716,1.37315981146298,0.0856
"483",8471724,1.68893862802189,0.0596
"484",8471743,1.29121570601561,0.0735
"485",8471753,1.69878799920525,0.0621
"486",8471760,0.591133004926108,0.0476
"487",8471763,1.02272727272727,0
"488",8471766,0.903882586565018,0.0736
"489",8471794,1.36727143964716,0.077
"490",8471804,1.43473613365533,0.0618
"491",8471807,0.998497094167048,0.0626
"492",8471811,1.51312403499743,0.1538
"493",8471840,1.20724346076459,0.0377
"494",8471851,1.47139713971397,0.0901
"495",8471859,1.96378648781002,0.1618
"496",8471873,0.938664654310133,0.0478
"497",8471887,2.30073101290777,0.0935
"498",8472008,1.41955835962145,0.2
"499",8472215,1.53048210186209,0.0967
"500",8472248,0,0
"501",8472361,1.75814975668463,0.1118
"502",8472368,1.46198830409357,0.0973
"503",8472379,1.74738941071522,0.1428
"504",8472394,0.640911518604237,0.0486
"505",8473385,1.28115303773396,0.0701
"506",8473412,2.06201207787625,0.1315
"507",8473422,1.82467532467532,0.1117
"508",8473432,1.19323520200438,0.0728
"509",8473449,2.06798413647348,0.1018
"510",8473453,1.06074257218288,0.0596
"511",8473465,1.60253491887167,0.1096
"512",8473473,1.99150382327952,0.1295
"513",8473482,1.69277198053259,0.126
"514",8473485,2.08073062508077,0.1288
"515",8473493,1.12023026955541,0.0645
"516",8473504,1.21340683409871,0.0861
"517",8473512,2.76550298774635,0.1149
"518",8473526,2.04793446609709,0.0931
"519",8473533,1.77758530763564,0.1138
"520",8473534,1.72842669871384,0.1242
"521",8473536,1.09837791442308,0.0558
"522",8473544,2.05607359108657,0.1111
"523",8473548,2.61486148087619,0.1073
"524",8473563,2.89374880847239,0.1197
"525",8473564,1.73619483964312,0.0803
"526",8473573,1.8326117153928,0.1304
"527",8473574,1.46689303904924,0.106
"528",8473579,1.60965006755831,0.1216
"529",8473604,2.53332823288641,0.138
